line_id,name,code,colour,operator,network,mode,frequency,opening_hours,frequency_exceptions
Line:relation:2207111,Bus 1,1,Red,Compagnie des Autobus de Monaco,Autobus de Monaco,bus,,,
Line:relation:2211957,Bus 2,2,DodgerBlue,Compagnie des Autobus de Monaco,Autobus de Monaco,bus,,,
Line:relation:2218013,Bus 5,5,#AA5500,Compagnie des Autobus de Monaco,Autobus de Monaco,bus,,,
Line:relation:2218014,Bus 4,4,#FFCC00,Compagnie des Autobus de Monaco,Autobus de Monaco,bus,,,
Line:relation:2218015,Bus 6,6,#88BB00,Compagnie des Autobus de Monaco,Autobus de Monaco,bus,,,
Line:relation:6290531,Bus 100 : Nice Menton par Monaco,100,,Transdev Alpes-Maritimes,Zou !,bus,,,
Line:relation:7358690,Bus 3,3,DarkGray,Compagnie des Autobus de Monaco,Autobus de Monaco,bus,,,
Line:relation:7359006,Bus de Nuit,N,#223355,Compagnie des Autobus de Monaco,Autobus de Monaco,bus,,,
Line:relation:10960129,Zest B,B,#a0522d,Keolis Alpes-Maritimes,Zest,bus,,,
Line:relation:10960449,Zest 11,11,#4682b4,Keolis Alpes-Maritimes,Zest,bus,,,
Line:relation:10966460,Zest 12,12,#9932cc,Keolis Alpes-Maritimes,Zest,bus,,,
Line:relation:10968130,Zest 13,13,#3cb371,Keolis Alpes-Maritimes,Zest,bus,,,
Line:relation:10984145,Zest 18,18,#00ffff,Keolis Alpes-Maritimes,Zest,bus,,,
Line:relation:11006034,Zest 24,24,#800080,Keolis Alpes-Maritimes,Zest,bus,,,
Line:relation:11109686,100X: Nice â‡† Monaco Express,100X,#009900,,Zou !,bus,,,
